trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-43.81576181223627,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-185.45870236300576,"{0: 20, 1: 0, 2: 5, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-184.39500081439616,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-120.92945610341431,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-100.15904554439128,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-53.58919958328932,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-98.78569589135354,"{0: 9, 1: 0, 2: 11, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-122.53526231855292,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-274.4578403383202,"{0: 11, 1: 6, 2: 8, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-135.7939181432778,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-126.17582489037477,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-106.11122898629709,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-116.17237869956115,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-110.97914396729102,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-92.86322423036636,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-133.21588542445292,"{0: 8, 1: 1, 2: 9, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-130.75237356235183,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-137.6706310252138,"{0: 10, 1: 4, 2: 1, 3: 4, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-52.57731733743946,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-99.4524840262061,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-169.6540680965769,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",35,0,-196.45190218124205,"{0: 20, 1: 4, 2: 8, 3: 0, 4: 3}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-113.93828681890207,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-91.52197277356228,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-119.53164438252331,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-116.6204323998101,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-22.97883214953203,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-80.7256716062364,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,-164.91119458359006,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-206.779750999333,"{0: 9, 1: 5, 2: 1, 3: 1, 4: 4}",0
